web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144434-6593,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-veuve-clicquot-rose-brut-etui/p/4259615,Champagne AOC Veuve Clicquot Rosé brut Etui,,2022-2025,Frankreich,Champagne,"Festlichem Apéro, Vorspeisen",null,12.00%,75cl,59.5
1671144436-6595,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-veuve-clicquot-rose-brut/p/4407226,Champagne AOC Veuve Clicquot Rosé brut,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Meunier",null,12.00%,75cl,59.5
1671144438-6597,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-veuve-clicquot-brut-rose-ice-jacket/p/4909015,Champagne AOC Veuve Clicquot brut Rosé Ice Jacket,,2021-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Meunier",null,12.50%,75cl,69.5
1671144440-6599,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-variance-bonnaire/p/5679778,Champagne AOC Variance Bonnaire,,2022-2025,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,34.95
1671144442-6600,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-special-cuvee-bollinger/p/5965183,Champagne AOC Special Cuvée Bollinger,,2022-2025,Frankreich,Champagne,null,null,12.50%,75cl,62
1671144445-6602,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-silexus-sezannensis-blanc-de-blancs/p/1015589001,Champagne AOC Silexus Sézannensis blanc de blancs,2011,2022-2026,Frankreich,Champagne,J. Vignier,Chardonnay,12.50%,75cl,39.95
1671144447-6604,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-rose-brut-pommery-etui/p/6391743,Champagne AOC Rosé brut Pommery Etui,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,42.5
1671144448-6606,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-rose-brut-imperial-moet-chandon/p/3170338,Champagne AOC Rosé Brut Impérial Moët & Chandon,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Meunier",null,12.00%,75cl,52.95
1671144451-6608,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-rose-brut-imperial-moet-chandon/p/5733506,Champagne AOC Rosé Brut Impérial Moët & Chandon,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.50%,37.5cl,37.5
1671144453-6610,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-rose-brut-alfred-rothschild/p/6786576,Champagne AOC Rosé Brut Alfred Rothschild,,,Frankreich,Champagne,null,null,12.50%,75cl,26.2
1671144455-6611,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-reserve-brut-grand-cru-arnould-michel/p/5680495,Champagne AOC Réserve brut Grand Cru Arnould Michel,,2020-2022,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,31.5
