web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144762-6752,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/alsace-aoc-pinot-blanc-cremant-brut-kuehn/p/7047057,Alsace AOC Pinot Blanc Cremant Brut Kuehn,Frankreich,Elsass,null,Pinot Blanc,null,null,11.50%,75cl,9.95
1671144863-6781,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-rose-vigne-dei-dogi/p/6691291,Prosecco DOC Rosé Vigne dei Dogi,2022-2023,Italien,Venetien,Pinot Noir,"Risotto, Fisch, weissem Fleisch",null,12.50%,75cl,6.95
1671144866-6782,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/prosecco-doc-rose-millesimato-brut-masottina/p/6720836,Prosecco DOC Rosé Millesimato Brut Masottina,2022-2023,Italien,Venetien,Pinot Noir,null,null,11.50%,75cl,10.95
1671144869-6783,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-rose-millesimato-brut-carpene-malvolti/p/6721977,Prosecco DOC Rosé Millesimato Brut Carpenè Malvolti,2022-2025,Italien,Venetien,null,"Pinot Noir, 
                                Glera",null,11.00%,75cl,9.75
1671144871-6784,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-rose-1821-brut-zonin-spa/p/6845322,Prosecco DOC Rosé 1821 Brut Zonin Spa,2022-2025,Italien,Venetien,null,"Pinot Noir, 
                                Glera",null,11.00%,75cl,13.9
1671144874-6785,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-millesimato-giordano/p/6759360,Prosecco DOC Millesimato Giordano,2022-2024,Italien,Venetien,null,Glera,null,12.00%,75cl,8.8
1671144876-6786,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-ice-demi-sec-zonin-spa/p/6845321,Prosecco DOC Ice Demi Sec Zonin Spa,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,18.9
1671144878-6787,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-docg-gioiosa-extra-dry/p/6707388,Prosecco DOCG Gioiosa Extra Dry,2022-2023,Italien,Glera,null,null,null,11.00%,75cl,9.95
1671144881-6788,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/prosecco-doc-freixenet/p/5965083,Prosecco DOC Freixenet,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,9.95
1671144884-6789,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-cuvee-i-magredi-valdo-extra-dry/p/6773284,Prosecco DOC Cuvée i Magredi Valdo Extra Dry,2022-2023,Italien,Venetien,null,Glera,null,12.50%,75cl,6.95
1671144886-6790,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-doc-cuvee-1821-brut-zonin-spa/p/6845323,Prosecco DOC Cuvée 1821 Brut Zonin Spa,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,12.9
1671144888-6791,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/prosecco-doc-015-millesimato-extra-dry/p/1018567001,Prosecco DOC 0.15 Millesimato Extra Dry,2021,2022-2024,Italien,Venetien,De Stefani,Glera,11.50%,75cl,16.5
1671144891-6792,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/prosecco-di-valdobbiadene-docg-valdo/p/5831356,Prosecco di Valdobbiadene DOCG Valdo,Italien,Venetien,null,Glera,"Apéro, Antipasti",null,11.00%,37.5cl,7.95
1671144893-6793,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/prosecco-di-valdobbiadene-docg-brut-valdo/p/7021055,Prosecco di Valdobbiadene DOCG brut Valdo,Italien,Venetien,null,Glera,null,null,12.50%,150cl,27.5
1671144896-6794,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/prosecco-blu-extra-dry-doc/p/3171545,Prosecco Blu Extra Dry DOC,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,12.5
1671144898-6795,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/diverse/pfalz-riesling-sekt-brut-weingut-am-nil/p/6814960,Pfalz Riesling Sekt Brut Weingut am Nil,2022-2025,Deutschland,Pfalz,Riesling,null,null,12.00%,75cl,24.95
1671144901-6796,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/spanien/natureo-sparkling-torres-alkoholfrei-semi-seco/p/6720834,Natureo Sparkling Torres alkoholfrei semi seco,2022-2025,Spanien,null,Muscat,"Tacos, Apéro, Fisch und hellem Fleisch",null,0.05%,75cl,8.95
1671144904-6798,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/naturaplan-bio-spumante-vigne-resistenti-raphael-dal-bo/p/6710847,Naturaplan Bio Spumante Vigne Resistenti Raphael Dal Bo,Italien,Venetien,null,null,"Apéro, Fisch und hellem Fleisch",null,11.50%,75cl,9.95
1671144907-6800,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/naturaplan-bio-spumante-rose-raphael-dal-bo/p/4284490,Naturaplan Bio Spumante Rosé Raphael Dal Bo,2022-2023,Italien,Venetien,null,Glera,null,12.00%,75cl,9.45
