web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671141467-5580,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-terre-di-gudo/p/1015082004,Ticino DOC Merlot Bianco Terre di Gudo,2021,2023-2025,Schweiz,Tessin,Tamborini,Merlot,12.00%,75cl,18.5
1671141470-5581,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-terre-alte/p/1007585008,Ticino DOC Merlot Bianco Terre Alte,2021,2023-2026,Schweiz,Tessin,Gialdi Vini,Merlot,12.50%,75cl,15.95
1671141472-5583,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-roncaia-vinattieri/p/1015964003,Ticino DOC Merlot Bianco Roncaia Vinattieri,2021,2022-2026,Schweiz,Tessin,Zanini,Merlot,13.00%,75cl,25
1671141475-5584,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-roncaia-vinattieri/p/1015964002,Ticino DOC Merlot Bianco Roncaia Vinattieri,2020,2022-2025,Schweiz,Tessin,Zanini,Merlot,13.00%,75cl,25
1671141477-5586,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-montalbano/p/1014895005,Ticino DOC Merlot Bianco Montalbano,2021,Schweiz,Tessin,Merlot,"Apéritif sowie als Begleiter zu Meeresfrüchten mit Olivenöl und Petersilie, Nudelgerichten wie Ricotta-Spinat-Ravioli in Butter",null,13.00%,75cl,17
1671141542-5598,weiss,https://www.coop.ch/de/weine/mondovino-highlights/mailing-weine/wairau-valley-marlborough-sauvignon-blanc-reserve-villa-maria/p/1017558001,Wairau Valley Marlborough Sauvignon Blanc Reserve Villa Maria,2021,2022-2025,Neuseeland,null,Villa Maria,Sauvignon Blanc,13.50%,75cl,24.95
1671141544-5599,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/wagram-at-josef-ehmoser-riesling-vom-gelben-loess/p/1017205001,Wagram AT Josef Ehmoser Riesling vom gelben Löss,2020,2022-2030,Österreich,Niederösterreich,Josef Ehmoser,Riesling,12.50%,75cl,21.5
1671141547-5600,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/wachau-dac-gruener-veltliner-smaragd-duernstein/p/1016623001,Wachau DAC Grüner Veltliner Smaragd Dürnstein,2020,2022-2024,Österreich,null,Domäne Wachau,null,13.00%,75cl,19.95
1671141550-5601,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/wachau-at-weingut-georg-frischengruber-gruener-veltliner-smaragd-kirnberg/p/1017203001,Wachau AT Weingut Georg Frischengruber Grüner Veltliner Smaragd Kirnberg,2019,2022-2029,Österreich,null,Weingut Georg Frischengruber,null,13.50%,75cl,26.5
1671141552-5602,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/wachau-at-weingut-georg-frischengruber-gruener-veltliner-federspiel-rossatz/p/1017204001,Wachau AT Weingut Georg Frischengruber Grüner Veltliner Federspiel Rossatz,2020,2022-2023,Österreich,null,Weingut Georg Frischengruber,null,12.50%,75cl,17
1671141555-5603,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vully-aoc-rochecombe-domaine-de-villarose/p/1011654007,Vully AOC Rochecombe Domaine de Villarose,2021,2023-2026,Schweiz,Waadt,Chasselas,null,11.50%,75cl,12.5
1671141557-5604,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vully-aoc-chasselas-tradition-domaine-derron/p/6719859,Vully AOC Chasselas Tradition Domaine Derron,Schweiz,Drei-Seen-Region,Chasselas,null,null,null,12.00%,75cl,13.5
1671141560-5605,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vufflens-le-chateau-la-cote-aoc/p/1000938018,Vufflens Le Château La Côte AOC,2021,2023-2024,Schweiz,Waadt,Chasselas,null,12.50%,75cl,9.5
1671141562-5606,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vufflens-le-chateau-la-cote-aoc/p/1000938017,Vufflens Le Château La Côte AOC,2020,2022-2023,Schweiz,Waadt,Chasselas,null,12.50%,75cl,9.5
1671141565-5607,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/visvik-vino-bianco-jermann-di-silvio/p/1016907001,Visvik Vino Bianco Jermann Di Silvio,2016,2022-2025,Italien,null,Ribolla Gialla,null,13.50%,75cl,75
1671141568-5608,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vinzel-aoc-collection-agenor-1er-grand-cru-reynald-parmelin/p/1015464002,Vinzel AOC Collection Agénor 1er Grand Cru Reynald Parmelin,2019,2022-2025,Schweiz,Waadt,Chasselas,null,13.00%,75cl,25.95
1671141572-5609,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vin-jaune-rolet-pere-et-fils-arbois-aoc/p/1001211015,Vin Jaune Rolet Père et Fils Arbois AOC,2014,2024-2034,Frankreich,Jura,Domaine Rolet Père et Fils,Heida,13.80%,62cl,45
1671141575-5611,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vin-jaune-rolet-pere-et-fils-arbois-aoc/p/1001211014,Vin Jaune Rolet Père et Fils Arbois AOC,2013,2023-2033,Frankreich,Jura,Domaine Rolet Père et Fils,Heida,13.80%,62cl,45
1671141578-5613,weiss,https://www.coop.ch/de/weine/wein-sortiment/bestseller-weine/vinho-verde-doc-loureiro-barao-do-hospital/p/1017629001,Vinho Verde DOC Loureiro Barão do Hospital,2020,2021-2024,Portugal,Vinho Verde,"Alvarinho, Loureiro",null,12.50%,75cl,11.95
1671141582-5616,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vinho-verde-doc-alvarinho-solar-de-serrade-moncao/p/1000021018,Vinho Verde DOC Alvarinho Solar de Serrade Monção,2021,2022-2025,Portugal,Vinho Verde,Solar de Serrade,Alvarinho,13.00%,75cl,14.95
1671141585-5618,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vinho-verde-doc-alvarinho-solar-de-serrade-moncao/p/1000021017,Vinho Verde DOC Alvarinho Solar de Serrade Monção,2020,2022-2023,Portugal,Vinho Verde,Solar de Serrade,Alvarinho,13.00%,75cl,14.95
1671141589-5620,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vinho-verde-doc-alvarinho-barao-do-hospital/p/1017628001,Vinho Verde DOC Alvarinho Barão do Hospital,2020,2021-2024,Portugal,Vinho Verde,Alvarinho,null,13.50%,75cl,14.95
1671141592-5623,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vinho-regional-beira-atlantico-maria-gomes-branco-luis-pato/p/6359562001,Vinho Regional Beira Atlântico Maria Gomes Branco Luis Pato,2017,2022-2025,Portugal,null,Robert Parker: 88,null,13.00%,75cl,12.95
1671141595-5625,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/vin-de-pays-suisse-denuo-cuvee-blanc-staatskellerei-zuerich/p/1013869006,Vin de Pays Suisse Dénuo Cuvée Blanc Staatskellerei Zürich,2021,2024-2025,Schweiz,Zürich,Staatskellerei Zürich,Muscat,12.00%,75cl,16.95
