web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671143434-6219,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-joseph-aop-les-royes-domaine-courbis/p/5852110004,Saint-Joseph AOP Les Royes Domaine Courbis,2018,2022-2028,Frankreich,null,Domaine Courbis,Syrah,14.50%,75cl,37.5
1671143436-6220,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-joseph-aop-le-clos-chapoutier/p/5848093004,"Saint-Joseph AOP Le Clos, Chapoutier",2018,2022-2032,Frankreich,null,M. Chapoutier,Syrah,14.50%,75cl,125
1671143438-6221,rot,https://www.coop.ch/de/subskriptionen-rhone/saint-joseph-aop-la-cotte-sud-courbis/p/5852066007,"Saint-Joseph AOP La Cotte Sud, Courbis 6x  75cl",2021,2025-2031,Frankreich,null,Domaine Courbis,Syrah,14.00%,6x 75cl,255
1671143441-6222,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-joseph-aop-domaine-courbis/p/1018080002,Saint-Joseph AOP Domaine Courbis,2021,2023-2030,Frankreich,null,Domaine Courbis,Syrah,14.00%,75cl,24.95
1671143443-6223,rot,https://www.coop.ch/de/subskriptionen-rhone/saint-joseph-aop-clos-de-la-ribaudy-julien-barge/p/5851754007,"Saint-Joseph AOP Clos de la Ribaudy, Julien Barge 6x  75cl",2021,2023-2028,Frankreich,null,null,Syrah,14.00%,6x 75cl,179.7
1671143445-6224,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-joseph-aoc-les-royes-domaine-courbis/p/1013194001,Saint-Joseph AOC Les Royes Domaine Courbis,2014,2022-2024,Frankreich,null,Domaine Courbis,Syrah,14.00%,75cl,27.5
1671143448-6225,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-joseph-aoc-e-guigal/p/1009540009,Saint-Joseph AOC E. Guigal,2019,2023-2026,Frankreich,Côtes du Rhône,Maison Guigal,Syrah,14.00%,75cl,32.95
1671143450-6226,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-estephe-ac-chateau-tour-des-termes/p/6164524005,Saint-Estèphe AC Château Tour des Termes 6x  75cl,2021,2024-2028,Frankreich,null,Château Tour des Termes,Cabernet Franc,13.00%,6x 75cl,123
1671143453-6227,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-estephe-ac-chateau-le-boscq/p/3439581018,Saint-Estèphe AC Château Le Boscq 6x  75cl,2021,2024-2029,Frankreich,null,Château Le Bosq,Cabernet Franc,13.00%,6x 75cl,125.7
1671143456-6228,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-estephe-ac-chateau-le-boscq/p/3439581017,Saint-Estèphe AC Château Le Boscq,2020,2024-2033,Frankreich,null,Château Le Bosq,Cabernet Franc,14.00%,75cl,24.95
1671143458-6229,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-estephe-ac-3eme-cru-classe-chateau-calon-segur-magnum/p/6163117004,Saint-Estèphe AC 3ème Cru Classé Château Calon-Ségur Magnum,2021,2030-2045,Frankreich,null,Château Calon-Ségur,Cabernet Franc,13.00%,150cl,223
1671143460-6230,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-emilion-merlot-l-hirondelle-de-faugeres/p/1015222001,Saint-Emilion Merlot L'Hirondelle de Faugères,2017,2022-2025,Frankreich,null,Château Faugères,Merlot,13.50%,75cl,14.95
1671143463-6231,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-emilion-grand-cru-classe-aoc-chateau-grand-barrail-lamarzelle-figeac/p/3654681006,Saint-Emilion Grand Cru Classé AOC Château Grand Barrail Lamarzelle Figeac,2019,2022-2032,Frankreich,null,null,"Cabernet Franc, 
                                Cabernet Sauvignon, 
                                Merlot",14.00%,75cl,32.95
1671143466-6232,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-emilion-ac-1er-grand-cru-classe-b-chateau-figeac/p/3173503023,Saint-Emilion AC 1er Grand Cru Classé B Château Figeac 6x  75cl,2021,2030-2041,Frankreich,null,null,"Cabernet Franc, 
                                Merlot",13.50%,6x 75cl,1'293.00
1671143469-6233,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-chinian-aoc-bardou-laurent-miquel/p/1015695002,Saint-Chinian AOC Bardou Laurent Miquel,2016,2022-2025,Frankreich,Languedoc-Roussillon,Laurent Miquel,Syrah,14.00%,75cl,15.5
1671143471-6234,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-amour-aoc-georges-duboeuf/p/1000770016,Saint-Amour AOC Georges Duboeuf,2021,2024-2025,Frankreich,Beaujolais,Georges Duboeuf,Gamay,14.00%,75cl,13.95
1671143474-6235,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/saint-amour-aoc-georges-duboeuf/p/1000770015,Saint-Amour AOC Georges Duboeuf,2020,2023-2024,Frankreich,Beaujolais,Georges Duboeuf,Gamay,14.00%,75cl,13.95
1671143476-6236,rot,https://www.coop.ch/de/alle-weine-in-literqualitaet/rubiette-gamay-de-romandie-vin-de-pays/p/3437494,Rubiette Gamay de Romandie Vin de Pays,null,null,Schweiz,Wallis,null,null,12.50%,100cl,5.95
1671143479-6237,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/schweiz/rubiette-gamay-de-romandie-vin-de-pays/p/3171169,Rubiette Gamay de Romandie Vin de Pays,null,null,Schweiz,Wallis,null,null,12.30%,50cl,3.6
