typ,wein_name,land,region,produzent,rebsorte,alkohol,inhalt_cl,anzahl_fl,jahrgang,prime_start,prime_end,preis_chf,preis_cl
rot,Basel-Landschaft AOC Kluser Burgeweg Pinot Noir,Schweiz,Basel/Aargau,,Pinot Noir,12.8,75.0,1,2020,2023,2024,14.5,0.19
rot,Basel-Landschaft AOC Benkemer Pinot Noir,Schweiz,Basel/Aargau,,Pinot Noir,13.0,75.0,1,2019,2023,2024,14.5,0.19
rot,Barossa Valley Shiraz Loechel Powell & Son,Australien,Syrah,Robert Parker: 96,,14.0,75.0,1,2016,2022,2026,99.0,1.32
rot,Barons de Rothschild Réserve Spéciale Bordeaux AOC,Frankreich,,,"Cabernet Franc,               Cabernet Sauvignon,                       Merlot",12.0,37.5,1,2018,,,6.95,0.19
rot,Barolo Paesi Tuoi DOCG,Italien,Piemont,Terre da Vino,Nebbiolo,14.0,75.0,1,2016,2022,2025,24.95,0.33
rot,Barolo DOCG Tenuta Cappallotto Sori Paradiso,Italien,Piemont,Tenuta Cappallotto,Nebbiolo,14.0,75.0,1,2017,2022,2024,29.95,0.4
rot,Barolo DOCG Tenuta Cappallotto,Italien,Piemont,Tenuta Cappallotto,Nebbiolo,14.0,75.0,1,2018,2023,2028,13.95,0.19
rot,Barolo DOCG Rocche dei Manzoni,Italien,Piemont,Rocche dei Manzoni,Nebbiolo,13.5,75.0,1,2018,2024,2029,42.5,0.57
rot,Barolo DOCG Rocche dei Manzoni,Italien,Piemont,Rocche dei Manzoni,Nebbiolo,13.5,75.0,1,2017,2023,2028,42.5,0.57
rot,Barolo DOCG Quasso,Italien,Piemont,Coop,Nebbiolo,14.0,75.0,1,2018,2023,2026,17.5,0.23
rot,Barolo DOCG Prunotto,Italien,Piemont,Prunotto,Nebbiolo,13.5,75.0,1,2018,2023,2028,39.5,0.53
rot,Barolo DOCG Palladino,Italien,Piemont,Nebbiolo,,14.5,37.5,1,2018,2023,2026,9.95,0.27
rot,Barolo DOCG Nebbiolo Cannubi Borgogno,Italien,Piemont,Borgogno,Nebbiolo,14.5,75.0,1,2013,2022,2025,105.0,1.4
rot,Barolo DOCG Mirafiore Lazzarito,Italien,Piemont,Casa E. di Mirafiore,Nebbiolo,14.0,75.0,1,2013,2022,2024,85.0,1.13
rot,Barolo DOCG Mirafiore,Italien,Piemont,Casa E. di Mirafiore,Nebbiolo,13.5,75.0,1,2014,2022,2024,55.0,0.73
rot,Barolo DOCG Fontanafredda Riserva,Italien,Piemont,Borgogno,Nebbiolo,15.0,75.0,1,2011,2022,2029,115.0,1.53
rot,Barolo DOCG Albarello,Italien,Piemont,Coop,Nebbiolo,13.0,75.0,1,2018,2020,2026,11.7,0.16
rot,Barolo del Comune die Monforte d'Alba DOCG Fonatafredda,Italien,Piemont,Fontanafredda,Nebbiolo,14.0,75.0,1,2013,2022,2024,39.9,0.53
rot,Barocco Reale Primitivo Vecchia Torre,Italien,Apulien,,Primitivo,14.5,75.0,1,2016,2023,2024,17.5,0.23
rot,Barocco Reale Primitivo Vecchia Torre,Italien,Apulien,,Primitivo,14.5,37.5,1,2016,2023,2023,9.5,0.25
rot,Bardolino classico Zeni DOC,Italien,Venetien,Cantina Zeni,Molinara,12.0,75.0,1,2021,2020,2027,3.95,0.05
rot,Bardolino Classico DOC Frescaripa Masi,Italien,Venetien,"Molinara, 
                                Corvina, 
                                Rondinella",,12.0,75.0,1,2021,2021,2023,12.0,0.16
rot,Barbera Monferrato La Monferrina Araldica DOC,Italien,Piemont,Barbera,,13.0,75.0,1,2019,,,6.95,0.09
rot,Barbera Monferrato La Monferrina Araldica DOC,Italien,Piemont,Barbera,,13.0,75.0,1,2021,,,6.95,0.09
rot,Barbera IGT Pavia La Reggia,Italien,Piemont,Barbera,,12.5,100.0,1,,,,3.5,0.04
rot,Barbera d'Asti Superiore DOCG Barbera La Vigna Vecchia Cossetti,Italien,Piemont,Cossetti,Barbera,14.0,75.0,1,2019,2022,2027,15.5,0.21
rot,Barbera d'Asti DOCG Superiore Rubigo,Italien,Piemont,Baldi di Burio,Barbera,15.0,75.0,1,2016,2022,2029,13.5,0.18
rot,Barbera d'Asti DOCG Gelsomora Cossetti,Italien,Piemont,Cossetti,Barbera,14.5,75.0,1,2020,2022,2025,14.5,0.19
rot,Barbera d'Asti DOCG Fontana La Spinetta,Italien,Piemont,La Spinetta,Barbera,14.0,75.0,1,2019,2024,2025,16.5,0.22
rot,Barbera d'Alba DOC Superiore Tenuta Cappallotto,Italien,Piemont,Tenuta Cappallotto,Barbera,13.0,75.0,1,2020,2023,2026,12.5,0.17
rot,Barbera d'Alba DOC Superiore Tenuta Cappallotto,Italien,Piemont,Tenuta Cappallotto,Barbera,13.0,75.0,1,2019,2022,2025,12.5,0.17
rot,Barbera d'Alba DOC Superiore Suculé Lo Zoccolaio,Italien,Piemont,Fratelli Martini,Barbera,14.0,75.0,1,2018,2022,2027,14.95,0.2
rot,Barbera Borgovecchio,Italien,Piemont,Barbera,,12.5,75.0,1,2021,,,5.75,0.08
rot,Barbaresco DOCG Roca de la Selva Fontanafredda,Italien,Piemont,Fontanafredda,Nebbiolo,13.5,75.0,1,2016,2022,2023,39.9,0.53
rot,Barbaresco DOCG Piazzo,Italien,Piemont,Azienda Vitivinicola Piazzo,,13.5,75.0,1,2018,2023,2031,7.45,0.1
rot,Barbaresco DOCG Borgo Reale,Italien,Piemont,Nebbiolo,,14.0,75.0,1,2019,2022,2028,19.5,0.26
rot,Balearen DO Gran Verán Bodegas Biniagual,Spanien,,Finca Biniagual,Syrah,14.0,75.0,1,2018,2022,2028,48.0,0.64
rot,Balearen DO Finca Biniagual Negre Bodegas Biniagual,Spanien,,Finca Biniagual,Cabernet Sauvignon,14.0,75.0,1,2018,2022,2028,18.5,0.25
rot,Balearen DO Cuvée AN/2 Anima Negra,Spanien,,Anima Negra,Syrah,13.5,75.0,1,2020,2022,2028,26.5,0.35
rot,Bagnoli DOC Friularo Ambasciatore,Italien,Venetien,,Merlot,14.5,150.0,1,,,,39.95,0.27
rot,Bagnoli DOC Friularo Ambasciatore,Italien,Venetien,Bagnoli,,14.5,75.0,1,2016,2023,2024,19.95,0.27
rot,Baden Spätburgunder Alte Reben Weingut Michel,Deutschland,Baden,Weinhaus Michel,Pinot Noir,13.5,75.0,1,2020,2023,2024,14.95,0.2
rot,Baden QbA Kaiserstuhl Spätlese Pinot Noir,Deutschland,,Pinot Noir,,13.5,75.0,1,2020,2023,2027,9.95,0.13
rot,Baden QbA Kaiserstuhl Spätburgunder Alte Reben Weingut Michel,Deutschland,Baden,Weinhaus Michel,Pinot Noir,13.5,75.0,1,2019,2022,2023,14.95,0.2
rot,Baboso Negro Borja Pérez Ignios Orígenes,Spanien,,Borja Pérez Ignios Orígenes,,14.5,75.0,1,2018,2022,2026,52.0,0.69
rot,Auenstein AOC Cuvée Cabernet Gislifluewii,Schweiz,Basel/Aargau,"Cabernet Sauvignon, 
                                Pinot Noir",,13.5,75.0,1,2019,2022,2024,14.5,0.19
rot,Apulien IGP Vespa Nero di Troia Helena,Italien,Apulien,Vespa,,13.5,75.0,1,2015,2022,2025,85.0,1.13
rot,Apulien Edizione Cinque Autoctoni Farnese mit Accessoires,Italien,Apulien,,Malvasia,14.5,150.0,1,,,,69.0,0.46
rot,Apulien DOP Masca del Tacco Primitivo Manduria Riserva Piano Chiuso,Italien,Apulien,Masca del Tacco,Primitivo,,75.0,1,2016,2022,2024,49.0,0.65
rot,Apulien Castel del Monte DOC Rupìcolo Rivera,Italien,Apulien,"Cabernet Sauvignon, 
                                Montepulciano, Uva di Troia",,13.0,75.0,1,2019,2019,2025,9.9,0.13
rot,Apulien Castel del Monte doc Riserva Cappellaccio Rivera,Italien,Apulien,Aglianico,,13.5,75.0,1,2015,2015,2022,16.0,0.21
rot,Apulia IGT Primitivo Vitis Nostra Bike & Uhr,Italien,Apulien,,Primitivo,13.0,75.0,1,2018,,,38.95,0.52
rot,Burgenland Cuvée Paul Achs Signaturwein Peter Keller,Österreich,Burgenland,Blaufränkisch,,14.0,75.0,1,2013,2022,2026,29.95,0.4
rot,Burgenland Big John Cuvée Reserve Scheiblhofer,Österreich,Burgenland,Erich Scheiblhofer,Cabernet Sauvignon,14.0,75.0,1,2020,2023,2024,19.95,0.27
rot,Bündner Pinot Noir Cottinelli,Schweiz,Ostschweiz,Weinbau Cottinelli,Pinot Noir,13.0,50.0,1,2021,2022,2023,10.5,0.21
rot,Brunello di Montalcino DOCG Val di Suga,Italien,Toskana,Sangiovese,,14.5,75.0,1,2016,2023,2026,20.05,0.27
rot,Brunello di Montalcino DOCG Greppone Mazzi,Italien,Toskana,Ruffino,Sangiovese,14.5,75.0,1,2015,2022,2025,54.95,0.73
rot,Brunello di Montalcino DOCG Della Robbia,Italien,Toskana,Marchesi de' Frescobaldi,Sangiovese,14.5,75.0,1,2016,2023,2025,21.95,0.29
rot,Brunello di Montalcino DOCG Castel Giocondo,Italien,Toskana,Marchesi de' Frescobaldi,Sangiovese,13.5,75.0,1,2017,2020,2022,38.5,0.51
rot,Brunello di Montalcino DOCG Altesino,Italien,Toskana,Altesino,Sangiovese,14.5,75.0,1,2017,2022,2027,55.0,0.73
rot,Brunello die Montalcino DOCG Riserva Altesino,Italien,Toskana,Altesino,Sangiovese,15.0,75.0,1,2012,2022,2032,99.0,1.32
rot,Bree Alcohol Free Red,Deutschland,Pfalz,,,0.5,75.0,1,,,,4.95,0.07
rot,Bourgogne Pinot Noir L. Jadot AOC,Frankreich,Burgund,Louis Jadot,Pinot Noir,12.5,75.0,1,2021,2024,2025,17.95,0.24
rot,Bourgogne Hautes Côtes de Nuits AOC Cuvée des Dames de Vergy,Frankreich,,Domaine Antonin Guyon,Pinot Noir,13.0,75.0,1,2020,2022,2026,17.95,0.24
rot,Bourgogne Hautes Côtes de Nuits AOC Cuvée des Dames de Vergy,Frankreich,,Domaine Antonin Guyon,Pinot Noir,13.0,75.0,1,2021,2021,2027,17.95,0.24
rot,Bourgogne AOC Pinot Noir Mercurey Les Montelons Domaine Adélie,Frankreich,Burgund,Domaine Adélie,Pinot Noir,13.0,75.0,1,2018,2022,2025,24.95,0.33
rot,Bordeaux rouge DBR Roth Légende,Frankreich,,Domaines Barons de Rothschild,Cabernet Sauvignon,12.5,75.0,1,2018,2022,2023,8.35,0.11
rot,Bordeaux rouge DBR Roth Légende,Frankreich,,Domaines Barons de Rothschild,Cabernet Sauvignon,12.5,75.0,1,2019,2023,2024,8.35,0.11
rot,Bordeaux rouge Chateaux Tour de Bonnet,Frankreich,,"Cabernet Sauvignon, 
                                Merlot",,0.0,75.0,1,2018,2022,2024,11.5,0.15
rot,Bordeaux AOC La Grolet Côte Bourg Origines Famille Hubert Vignerons,Frankreich,,"Cabernet Franc, 
                                Cabernet Sauvignon, 
                                Merlot, 
                                Malbec",,13.0,75.0,1,2020,2023,2028,14.95,0.2
rot,Bordeaux AOC Baron de Lestac,Frankreich,,Baron de Lestac,Cabernet Sauvignon,12.5,75.0,1,2020,2023,2024,8.5,0.11
rot,Bordeaux AC Mouton Cadet Baron Ph de Rothschild,Frankreich,,Mouton Cadet,Cabernet Sauvignon,13.5,18.75,1,2019,2023,2024,4.95,0.26
rot,Bordeaux AC Mouton Cadet Baron Ph de Rothschild,Frankreich,,Mouton Cadet,Cabernet Franc,13.5,75.0,1,2019,2023,2024,14.95,0.2
rot,Bordeaus supérieur AOC Baron Eugène Haussmann,Frankreich,,,"Cabernet Franc,                 Cabernet Sauvignon,                Merlot",12.5,75.0,1,2019,2022,2026,8.95,0.12
rot,Bolgheri DOC Villa Donoratico Tenuta Argentiera,Italien,Toskana,Tenuta Argentiera,Cabernet Franc,14.0,75.0,1,2020,2022,2026,34.95,0.47
rot,Bolgheri DOC Villa Donoratico Tenuta Argentiera,Italien,Toskana,Tenuta Argentiera,Cabernet Franc,14.0,75.0,1,2019,2022,2025,34.95,0.47
rot,Bolgheri DOC Superiore Guado al Tasso Antinori,Italien,Toskana,Marchesi Antinori,Cabernet Franc,14.0,75.0,1,2019,2022,2032,125.0,1.67
rot,Bolgheri DOC Superiore Cabernet Franc Fattoria Casa di Terra,Italien,Toskana,Fattoria Casa di Terra,Cabernet Franc,14.5,75.0,1,2015,2022,2030,98.0,1.31
rot,Bolgheri DOC Sassicaia Tenuta San Guido 2019,Italien,Toskana,Tenuta San Guido,Cabernet Franc,14.0,75.0,1,2019,2022,2036,279.0,3.72
rot,Bolgheri DOC Ornellaia Tenuta dell'Ornellaia 2018,Italien,Toskana,Tenuta dell'Ornellaia,Cabernet Franc,14.0,75.0,1,2018,2022,2033,199.0,2.65
rot,Bolgheri DOC Le Serre Nuove dell'Ornellaia Tenuta dell'Ornellaia,Italien,Toskana,Tenuta dell'Ornellaia,Cabernet Franc,14.0,75.0,1,2019,2022,2026,54.95,0.73
rot,Bolgheri DOC Il Bruciato Tenuta Guado al Tasso,Italien,Toskana,Guado al Tasso,Cabernet Sauvignon,13.5,75.0,1,2021,2024,2026,24.5,0.33
rot,Bolgheri DOC Cont'Ugo Guado al Tasso,Italien,Toskana,Guado al Tasso,Merlot,13.0,75.0,1,2019,2022,2030,39.5,0.53
rot,Bolgheri DOC Ca'Marcanda Magari di Angelo Gaja,Italien,Toskana,Angelo Gaja,Cabernet Franc,14.5,75.0,1,2020,2023,2027,57.0,0.76
rot,Bolgheri DOC Azienda Agricola Donne Fittipaldi,Italien,Toskana,Azienda Agricola Donne Fittipaldi,Cabernet Franc,13.5,75.0,1,2020,2024,2026,25.5,0.34
rot,Blaufränkisch Edition Peter Keller Rennersistas,Österreich,Burgenland,Blaufränkisch,,13.0,75.0,1,2017,2022,2030,29.95,0.4
rot,Blaufränkisch Burgenland DAC Edition Peter Keller Burgenland Weingut Strehn,Österreich,Burgenland,Blaufränkisch,,13.0,75.0,1,2017,2022,2025,24.95,0.33
rot,Blauburgunder Landwein,Deutschland,Baden,,Pinot Noir,13.0,50.0,1,,2022,2025,3.95,0.08
rot,Bio Yecla DO Campo Arriba,Spanien,Murcia,Bodega Señorio de Barahonda,Syrah,14.5,75.0,1,2020,2022,2026,9.95,0.13
rot,Bio Terra Alpina Vino Rosso Lageder,,,,"Grenache,                  Merlot,                Carignan,                   Lagrein",13.0,75.0,1,2021,2023,2025,14.95,0.2
rot,Bio Puglia IGT Susumaniello Luminante,Italien,Apulien,Giordano,,14.0,75.0,1,2021,2022,2025,13.95,0.19
rot,Bio Les Alpilles IGP Moulin de Lauzières Petit Verdot Grande Réserve,Frankreich,Provence,Domaine des Lauzières,Petit Verdot,12.5,75.0,1,2013,2022,2026,19.95,0.27
rot,Bio Jumilla DOP Santa Augusta,Spanien,Murcia,Monastrell,,12.5,75.0,1,2020,2022,2024,3.95,0.05
rot,Bio Glühwein Vin Chaud rouge,Europa,,,,0.0,100.0,1,,2022,2025,4.5,0.04
rot,Bio Demeter Ermitage AOC Le Méal Rouge M. Chapoutier,Frankreich,Côtes du Rhône,M. Chapoutier,Syrah,13.5,75.0,1,2010,2022,2045,249.0,3.32
